TargetDomLossValid,ValidMSE,SourceDomLossValid,Domainloss,DomainLambda,LearningRate,MaxEpoch,HiddenUnits
0.30603660465464,0.2988054442665,1.3394521183242,1.6454887229788,10,1,200,21
-1.0000889005818e-12,0.24632778449318,27.631021115929,27.631021115928,10,1,200,22
0.15065948509092,0.27288423442368,1.9773780807782,2.1280375658691,10,1,200,23
0.22629951176449,0.28416209933501,1.5978264510482,1.8241259628127,10,1,200,24
0.061220103829518,0.30223952939544,2.8396669384862,2.9008870423157,10,1,200,25
-1.0000889005818e-12,0.27799786244788,27.631021115929,27.631021115928,10,1,200,26
0.0048204298419427,0.2682839745508,15.579025656791,15.583846086633,10,1,200,27
0.036157661757542,0.28360027254576,3.4065298877274,3.4426875494849,10,1,200,28
0.31220905285013,0.28787399236039,1.3173333953864,1.6295424482365,10,1,200,29
-1.0000889005818e-12,0.31578327708321,27.631021115929,27.631021115928,10,1,200,30
0.45169843130658,0.3016603426758,1.0151684998602,1.4668669311668,10,1,200,31
-1.0000889005818e-12,0.27348206549594,27.631021115929,27.631021115928,10,1,200,32
0.37553887162135,0.2883127095376,1.1647767603502,1.5403156319716,10,1,200,33
0.0015671817576633,0.27475274776792,22.512993209402,22.51456039116,10,1,200,34
-1.0000889005818e-12,0.28754643644337,27.631021115929,27.631021115928,10,1,200,35
-1.0000889005818e-12,0.28442331552365,27.631021115929,27.631021115928,10,1,200,36
-1.0000889005818e-12,0.28595897144097,27.631021115929,27.631021115928,10,1,200,37
0.013816216046747,0.30042329897265,7.0483270210104,7.0621432370571,10,1,200,38
0.058267213733923,0.27579580513119,2.8830371421149,2.9413043558488,10,1,200,39
-1.0000889005818e-12,0.28368465392462,27.631021115929,27.631021115928,10,1,200,40
-1.0000889005818e-12,0.27451329136255,27.631021115929,27.631021115928,10,1,200,41
-1.0000889005818e-12,0.30808016366152,27.631021115929,27.631021115928,10,1,200,42
-1.0000889005818e-12,0.26358654877827,27.631021115929,27.631021115928,10,1,200,43
0.32584762042312,0.28107977617976,1.2828425872124,1.6086902076355,10,1,200,44
0.0058414423073535,0.2829618518021,17.660812536773,17.66665397908,10,1,200,45
0.3134746593658,0.27403071012386,1.3145022511025,1.6279769104683,10,1,200,46
0.046102373370775,0.28260618054014,3.1365524280544,3.1826548014252,10,1,200,47
-1.0000889005818e-12,0.29709244707716,27.631021115929,27.631021115928,10,1,200,48
-1.0000889005818e-12,0.28254695119749,27.631021115929,27.631021115928,10,1,200,49
-1.0000889005818e-12,0.29037096257577,27.631021115929,27.631021115928,10,1,200,50
-1.0000889005818e-12,0.26130831035508,27.631021115929,27.631021115928,10,1,200,51
-1.0000889005818e-12,0.28014501275823,27.631021115929,27.631021115928,10,1,200,52
0.065333539177769,0.29676003110355,2.8164319660257,2.8817655052035,10,1,200,53
0.05970187669861,0.27981711869124,2.8605715303856,2.9202734070842,10,1,200,54
-1.0000889005818e-12,0.30166604888927,27.631021115929,27.631021115928,10,1,200,55
-1.0000889005818e-12,0.29418994964112,27.631021115929,27.631021115928,10,1,200,56
0.056634114748959,0.30137289558296,5.8129801175625,5.8696142323114,100,1,200,1
-1.0000889005818e-12,0.25637760928975,27.631021115929,27.631021115928,100,1,200,2
-1.0000889005818e-12,0.24481225729996,27.631021115929,27.631021115928,100,1,200,3
0.57397149805259,0.2507951307937,0.83262490762544,1.406596405678,100,1,200,4
-1.0000889005818e-12,0.25770495439189,27.631021115929,27.631021115928,100,1,200,5
0.11247022601547,0.27372955718381,2.2430722957302,2.3555425217457,100,1,200,6
-1.0000889005818e-12,0.28845245922855,27.631021115929,27.631021115928,100,1,200,7
-1.0000889005818e-12,0.26917149412029,27.631021115929,27.631021115928,100,1,200,8
0.00095780898511588,0.28674741342398,23.026218687105,23.02717649609,100,1,200,9
0.0093409038503316,0.29541012098443,8.6236665342398,8.6330074380902,100,1,200,10
-1.0000889005818e-12,0.25041090054741,27.631021115929,27.631021115928,100,1,200,11
0.00029569846898081,0.30655745414232,26.682079018686,26.682374717155,100,1,200,12
0.44858164568098,0.28669632458457,1.0181349490834,1.4667165947644,100,1,200,13
-1.0000889005818e-12,0.27331486660478,27.631021115929,27.631021115928,100,1,200,14
0.43962830421033,0.27780500424891,1.0343696816038,1.4739979858141,100,1,200,15
-1.0000889005818e-12,0.25571787453487,27.631021115929,27.631021115928,100,1,200,16
0.00030901567374363,0.27139149762845,26.644402794818,26.644711810491,100,1,200,17
0.10297275210663,0.2931555187788,2.3334076870882,2.4363804391948,100,1,200,18
0.15338240547566,0.28201580298697,1.9562630830955,2.1096454885712,100,1,200,19
-1.0000889005818e-12,0.2959995353998,27.631021115929,27.631021115928,100,1,200,20
0.30603660465464,0.2988054442665,1.3394521183242,1.6454887229788,100,1,200,21
-1.0000889005818e-12,0.24632778449318,27.631021115929,27.631021115928,100,1,200,22
0.15065948509092,0.27288423442368,1.9773780807782,2.1280375658691,100,1,200,23
0.22629951176449,0.28416209933501,1.5978264510482,1.8241259628127,100,1,200,24
0.061220103829518,0.30223952939544,2.8396669384862,2.9008870423157,100,1,200,25
-1.0000889005818e-12,0.27799786244788,27.631021115929,27.631021115928,100,1,200,26
0.0048204298419427,0.2682839745508,15.579025656791,15.583846086633,100,1,200,27
0.036157661757542,0.28360027254576,3.4065298877274,3.4426875494849,100,1,200,28
0.31220905285013,0.28787399236039,1.3173333953864,1.6295424482365,100,1,200,29
-1.0000889005818e-12,0.31578327708321,27.631021115929,27.631021115928,100,1,200,30
0.45169843130658,0.3016603426758,1.0151684998602,1.4668669311668,100,1,200,31
-1.0000889005818e-12,0.27348206549594,27.631021115929,27.631021115928,100,1,200,32
0.37553887162135,0.2883127095376,1.1647767603502,1.5403156319716,100,1,200,33
0.0015671817576633,0.27475274776792,22.512993209402,22.51456039116,100,1,200,34
-1.0000889005818e-12,0.28754643644337,27.631021115929,27.631021115928,100,1,200,35
-1.0000889005818e-12,0.28442331552365,27.631021115929,27.631021115928,100,1,200,36
-1.0000889005818e-12,0.28595897144097,27.631021115929,27.631021115928,100,1,200,37
0.013816216046747,0.30042329897265,7.0483270210104,7.0621432370571,100,1,200,38
0.058267213733923,0.27579580513119,2.8830371421149,2.9413043558488,100,1,200,39
-1.0000889005818e-12,0.28368465392462,27.631021115929,27.631021115928,100,1,200,40
-1.0000889005818e-12,0.27451329136255,27.631021115929,27.631021115928,100,1,200,41
-1.0000889005818e-12,0.30808016366152,27.631021115929,27.631021115928,100,1,200,42
-1.0000889005818e-12,0.26358654877827,27.631021115929,27.631021115928,100,1,200,43
0.32584762042312,0.28107977617976,1.2828425872124,1.6086902076355,100,1,200,44
0.0058414423073535,0.2829618518021,17.660812536773,17.66665397908,100,1,200,45
0.3134746593658,0.27403071012386,1.3145022511025,1.6279769104683,100,1,200,46
0.046102373370775,0.28260618054014,3.1365524280544,3.1826548014252,100,1,200,47
-1.0000889005818e-12,0.29709244707716,27.631021115929,27.631021115928,100,1,200,48
-1.0000889005818e-12,0.28254695119749,27.631021115929,27.631021115928,100,1,200,49
-1.0000889005818e-12,0.29037096257577,27.631021115929,27.631021115928,100,1,200,50
-1.0000889005818e-12,0.26130831035508,27.631021115929,27.631021115928,100,1,200,51
-1.0000889005818e-12,0.28014501275823,27.631021115929,27.631021115928,100,1,200,52
0.065333539177769,0.29676003110355,2.8164319660257,2.8817655052035,100,1,200,53
0.05970187669861,0.27981711869124,2.8605715303856,2.9202734070842,100,1,200,54
-1.0000889005818e-12,0.30166604888927,27.631021115929,27.631021115928,100,1,200,55
-1.0000889005818e-12,0.29418994964112,27.631021115929,27.631021115928,100,1,200,56
0.056634114748959,0.30137289558296,5.8129801175625,5.8696142323114,1000,1,200,1
-1.0000889005818e-12,0.25637760928975,27.631021115929,27.631021115928,1000,1,200,2
-1.0000889005818e-12,0.24481225729996,27.631021115929,27.631021115928,1000,1,200,3
0.57397149805259,0.2507951307937,0.83262490762544,1.406596405678,1000,1,200,4
-1.0000889005818e-12,0.25770495439189,27.631021115929,27.631021115928,1000,1,200,5
0.11247022601547,0.27372955718381,2.2430722957302,2.3555425217457,1000,1,200,6
-1.0000889005818e-12,0.28845245922855,27.631021115929,27.631021115928,1000,1,200,7
-1.0000889005818e-12,0.26917149412029,27.631021115929,27.631021115928,1000,1,200,8
0.00095780898511588,0.28674741342398,23.026218687105,23.02717649609,1000,1,200,9
0.0093409038503316,0.29541012098443,8.6236665342398,8.6330074380902,1000,1,200,10
-1.0000889005818e-12,0.25041090054741,27.631021115929,27.631021115928,1000,1,200,11
0.00029569846898081,0.30655745414232,26.682079018686,26.682374717155,1000,1,200,12
0.44858164568098,0.28669632458457,1.0181349490834,1.4667165947644,1000,1,200,13
-1.0000889005818e-12,0.27331486660478,27.631021115929,27.631021115928,1000,1,200,14
0.43962830421033,0.27780500424891,1.0343696816038,1.4739979858141,1000,1,200,15
-1.0000889005818e-12,0.25571787453487,27.631021115929,27.631021115928,1000,1,200,16
0.00030901567374363,0.27139149762845,26.644402794818,26.644711810491,1000,1,200,17
0.10297275210663,0.2931555187788,2.3334076870882,2.4363804391948,1000,1,200,18
0.15338240547566,0.28201580298697,1.9562630830955,2.1096454885712,1000,1,200,19
-1.0000889005818e-12,0.2959995353998,27.631021115929,27.631021115928,1000,1,200,20
0.30603660465464,0.2988054442665,1.3394521183242,1.6454887229788,1000,1,200,21
-1.0000889005818e-12,0.24632778449318,27.631021115929,27.631021115928,1000,1,200,22
0.15065948509092,0.27288423442368,1.9773780807782,2.1280375658691,1000,1,200,23
0.22629951176449,0.28416209933501,1.5978264510482,1.8241259628127,1000,1,200,24
0.061220103829518,0.30223952939544,2.8396669384862,2.9008870423157,1000,1,200,25
-1.0000889005818e-12,0.27799786244788,27.631021115929,27.631021115928,1000,1,200,26
0.0048204298419427,0.2682839745508,15.579025656791,15.583846086633,1000,1,200,27
0.036157661757542,0.28360027254576,3.4065298877274,3.4426875494849,1000,1,200,28
0.31220905285013,0.28787399236039,1.3173333953864,1.6295424482365,1000,1,200,29
-1.0000889005818e-12,0.31578327708321,27.631021115929,27.631021115928,1000,1,200,30
0.45169843130658,0.3016603426758,1.0151684998602,1.4668669311668,1000,1,200,31
-1.0000889005818e-12,0.27348206549594,27.631021115929,27.631021115928,1000,1,200,32
0.37553887162135,0.2883127095376,1.1647767603502,1.5403156319716,1000,1,200,33
0.0015671817576633,0.27475274776792,22.512993209402,22.51456039116,1000,1,200,34
-1.0000889005818e-12,0.28754643644337,27.631021115929,27.631021115928,1000,1,200,35
-1.0000889005818e-12,0.28442331552365,27.631021115929,27.631021115928,1000,1,200,36
-1.0000889005818e-12,0.28595897144097,27.631021115929,27.631021115928,1000,1,200,37
0.013816216046747,0.30042329897265,7.0483270210104,7.0621432370571,1000,1,200,38
0.058267213733923,0.27579580513119,2.8830371421149,2.9413043558488,1000,1,200,39
-1.0000889005818e-12,0.28368465392462,27.631021115929,27.631021115928,1000,1,200,40
-1.0000889005818e-12,0.27451329136255,27.631021115929,27.631021115928,1000,1,200,41
-1.0000889005818e-12,0.30808016366152,27.631021115929,27.631021115928,1000,1,200,42
-1.0000889005818e-12,0.26358654877827,27.631021115929,27.631021115928,1000,1,200,43
0.32584762042312,0.28107977617976,1.2828425872124,1.6086902076355,1000,1,200,44
0.0058414423073535,0.2829618518021,17.660812536773,17.66665397908,1000,1,200,45
0.3134746593658,0.27403071012386,1.3145022511025,1.6279769104683,1000,1,200,46
0.046102373370775,0.28260618054014,3.1365524280544,3.1826548014252,1000,1,200,47
-1.0000889005818e-12,0.29709244707716,27.631021115929,27.631021115928,1000,1,200,48
-1.0000889005818e-12,0.28254695119749,27.631021115929,27.631021115928,1000,1,200,49
-1.0000889005818e-12,0.29037096257577,27.631021115929,27.631021115928,1000,1,200,50
-1.0000889005818e-12,0.26130831035508,27.631021115929,27.631021115928,1000,1,200,51
-1.0000889005818e-12,0.28014501275823,27.631021115929,27.631021115928,1000,1,200,52
0.065333539177769,0.29676003110355,2.8164319660257,2.8817655052035,1000,1,200,53
0.05970187669861,0.27981711869124,2.8605715303856,2.9202734070842,1000,1,200,54
-1.0000889005818e-12,0.30166604888927,27.631021115929,27.631021115928,1000,1,200,55
-1.0000889005818e-12,0.29418994964112,27.631021115929,27.631021115928,1000,1,200,56
0.056634114748959,0.30137289558296,5.8129801175625,5.8696142323114,10000,1,200,1
-1.0000889005818e-12,0.25637760928975,27.631021115929,27.631021115928,10000,1,200,2
-1.0000889005818e-12,0.24481225729996,27.631021115929,27.631021115928,10000,1,200,3
0.57397149805259,0.2507951307937,0.83262490762544,1.406596405678,10000,1,200,4
-1.0000889005818e-12,0.25770495439189,27.631021115929,27.631021115928,10000,1,200,5
0.11247022601547,0.27372955718381,2.2430722957302,2.3555425217457,10000,1,200,6
-1.0000889005818e-12,0.28845245922855,27.631021115929,27.631021115928,10000,1,200,7
-1.0000889005818e-12,0.26917149412029,27.631021115929,27.631021115928,10000,1,200,8
0.00095780898511588,0.28674741342398,23.026218687105,23.02717649609,10000,1,200,9
0.0093409038503316,0.29541012098443,8.6236665342398,8.6330074380902,10000,1,200,10
-1.0000889005818e-12,0.25041090054741,27.631021115929,27.631021115928,10000,1,200,11
0.00029569846898081,0.30655745414232,26.682079018686,26.682374717155,10000,1,200,12
0.44858164568098,0.28669632458457,1.0181349490834,1.4667165947644,10000,1,200,13
-1.0000889005818e-12,0.27331486660478,27.631021115929,27.631021115928,10000,1,200,14
0.43962830421033,0.27780500424891,1.0343696816038,1.4739979858141,10000,1,200,15
-1.0000889005818e-12,0.25571787453487,27.631021115929,27.631021115928,10000,1,200,16
0.00030901567374363,0.27139149762845,26.644402794818,26.644711810491,10000,1,200,17
0.10297275210663,0.2931555187788,2.3334076870882,2.4363804391948,10000,1,200,18
0.15338240547566,0.28201580298697,1.9562630830955,2.1096454885712,10000,1,200,19
-1.0000889005818e-12,0.2959995353998,27.631021115929,27.631021115928,10000,1,200,20
0.30603660465464,0.2988054442665,1.3394521183242,1.6454887229788,10000,1,200,21
-1.0000889005818e-12,0.24632778449318,27.631021115929,27.631021115928,10000,1,200,22
0.15065948509092,0.27288423442368,1.9773780807782,2.1280375658691,10000,1,200,23
0.22629951176449,0.28416209933501,1.5978264510482,1.8241259628127,10000,1,200,24
0.061220103829518,0.30223952939544,2.8396669384862,2.9008870423157,10000,1,200,25
-1.0000889005818e-12,0.27799786244788,27.631021115929,27.631021115928,10000,1,200,26
0.0048204298419427,0.2682839745508,15.579025656791,15.583846086633,10000,1,200,27
0.036157661757542,0.28360027254576,3.4065298877274,3.4426875494849,10000,1,200,28
0.31220905285013,0.28787399236039,1.3173333953864,1.6295424482365,10000,1,200,29
-1.0000889005818e-12,0.31578327708321,27.631021115929,27.631021115928,10000,1,200,30
0.45169843130658,0.3016603426758,1.0151684998602,1.4668669311668,10000,1,200,31
-1.0000889005818e-12,0.27348206549594,27.631021115929,27.631021115928,10000,1,200,32
0.37553887162135,0.2883127095376,1.1647767603502,1.5403156319716,10000,1,200,33
0.0015671817576633,0.27475274776792,22.512993209402,22.51456039116,10000,1,200,34
-1.0000889005818e-12,0.28754643644337,27.631021115929,27.631021115928,10000,1,200,35
-1.0000889005818e-12,0.28442331552365,27.631021115929,27.631021115928,10000,1,200,36
-1.0000889005818e-12,0.28595897144097,27.631021115929,27.631021115928,10000,1,200,37
0.013816216046747,0.30042329897265,7.0483270210104,7.0621432370571,10000,1,200,38
0.058267213733923,0.27579580513119,2.8830371421149,2.9413043558488,10000,1,200,39
-1.0000889005818e-12,0.28368465392462,27.631021115929,27.631021115928,10000,1,200,40
-1.0000889005818e-12,0.27451329136255,27.631021115929,27.631021115928,10000,1,200,41
-1.0000889005818e-12,0.30808016366152,27.631021115929,27.631021115928,10000,1,200,42
-1.0000889005818e-12,0.26358654877827,27.631021115929,27.631021115928,10000,1,200,43
0.32584762042312,0.28107977617976,1.2828425872124,1.6086902076355,10000,1,200,44
0.0058414423073535,0.2829618518021,17.660812536773,17.66665397908,10000,1,200,45
0.3134746593658,0.27403071012386,1.3145022511025,1.6279769104683,10000,1,200,46
0.046102373370775,0.28260618054014,3.1365524280544,3.1826548014252,10000,1,200,47
-1.0000889005818e-12,0.29709244707716,27.631021115929,27.631021115928,10000,1,200,48
-1.0000889005818e-12,0.28254695119749,27.631021115929,27.631021115928,10000,1,200,49
-1.0000889005818e-12,0.29037096257577,27.631021115929,27.631021115928,10000,1,200,50
-1.0000889005818e-12,0.26130831035508,27.631021115929,27.631021115928,10000,1,200,51
-1.0000889005818e-12,0.28014501275823,27.631021115929,27.631021115928,10000,1,200,52
0.065333539177769,0.29676003110355,2.8164319660257,2.8817655052035,10000,1,200,53
0.05970187669861,0.27981711869124,2.8605715303856,2.9202734070842,10000,1,200,54
-1.0000889005818e-12,0.30166604888927,27.631021115929,27.631021115928,10000,1,200,55
-1.0000889005818e-12,0.29418994964112,27.631021115929,27.631021115928,10000,1,200,56
